"Professor","Class_Code","Class_Name","Dept","Dept.Type","Overall_Rating","Easiness","Clarity","Workload","Helpfulness","Average_A_Plus","Average_A","Average_A_Minus","Average_B_Plus","Average_B","Average_B_Minus","Average_C_Plus","Average_C","Average_C_Minus","Average_D_Plus","Average_D","Average_D_Minus","Average_F","Avg_GPA","Review","Review.Quarter","Reviewer.Grade"
"Alfred D Bacher","CHEM 30CL","Organic Chemistry Laboratory II","CHEM","stem",2.5,1.3,2.7,1.5,3.8,0,0.133692307692308,0.110076923076923,0.0999230769230769,0.125307692307692,0.154076923076923,0.0963846153846154,0.109615384615385,0.0782307692307692,0.00815384615384615,0.0653076923076923,0,0.0188461538461538,2.71354615384615,"Anyone willing to sell Chem 30CL reports and quizzes? Please e-mail me!*************",NA,NA
"Shuming Chen","CHEM 30CL","Organic Chemistry Laboratory II","CHEM","stem",4,3,3,2,5,0.0948,0.1836,0.1128,0.2526,0.1466,0.0926,0.0694,0.0296,0.0178,0,0,0,0,3.30344,"If you are dreading 30CL because of the fact that you have to go to lab twice a week, I wouldn't worry too much. The labs aren't that bad although there will be ups and downs. Some lab periods you come in and throw some stuff into a flask and then go home. Other lab periods you run a column, work up the reaction, and do some other stuff all within the period which means you're probably going to stay the full time. Professor Chen is also pretty cool. She's fairly new and young/hip so it's very easy to get along with her.","Winter 2018","B"
"Amber J Reilly","CHEM 30CL","Organic Chemistry Laboratory II","CHEM","stem",5,3.7,4.7,3.7,5,0.011,0.197666666666667,0.231666666666667,0.293333333333333,0.154,0.0743333333333333,0.012,0.026,0,0,0,0,0,3.40213333333333,"Professor Reilly is amazing. She is very clear and articulate in her office hours about what she is looking for in her pre-lab and post-lab assignments, and she's really engaging with topics that expand out of CHEM 30CL to relate concepts to outside applications i.e. industry, pharmaceuticals, etc. Additionally, Professor Reilly is very empathetic, accommodating, and a pretty chill professor to strike a conversation with. Although I was unable to take this class in a practical laboratory setting due to pandemic reasons, this course was very enriching with cooler and more exciting organic chemistry concepts and lab knowledge compared to CHEM 30BL (...no offense).  In all, there are some things that are less appealing in virtual CHEM 30CL such as troubleshooting issues that come from TopSpin (yea... still as annoying as in CHEM 30BL) and virtual lab sections, which is slightly less exciting and engaging compared to practical lab sections. However, if you ever have the chance to take CHEM 30CL with Professor Reilly, please do!","Fall 2020","A"
"Agape Awad","CHEM 153A","Biochemistry: Introduction to Structure, Enzymes, and Metabolism","CHEM","stem",3.5,1.9,3.8,2.1,3.5,0.10325,0.29325,0.186,0.142,0.13725,0.04,0.0335,0.025,0.02325,0.00125,0.014,0,0.00125,3.44475,"All the current reviews of the professor are accurate. I took her class because I heard a lot of good things about her, but her tests (especially the final) were harder then they needed to be. The tests were very picky on grading and weren’t fairly graded based on knowledge of the subject, but based memorizing specific key words to write in specific sections. Example: if you didn’t right the word entropy (even though you explained the concept correctly) you still would get the question wrong. I felt as if her lectures were also unclear of what was tested. Also not sure if this was only me but she’s not the most friendly in person.","Fall 2019","NR"
"Marjorie A Bates","CHEM 153A","Biochemistry: Introduction to Structure, Enzymes, and Metabolism","CHEM","stem",3.4,1,4,1.2,3.4,0.033,0.151,0.028,0.0575,0.2245,0.0455,0.0975,0.2395,0.0435,0.0075,0.0175,0.0065,0.0485,2.6347,"Bates is wonderful! Great professor and fair grader. Her tests are very detailed and require a lot of time to study for, but in the end, the hardwork is well worth the effort. Just know basically everything in the compendium and do all the CLAPS, go to CLAPS too! The TAs are awesome!",NA,NA
"Robert T Clubb","CHEM 153A","Biochemistry: Introduction to Structure, Enzymes, and Metabolism","CHEM","stem",3,2,3.3,2.1,3.6,0.011,0.131666666666667,0.0743333333333333,0.059,0.357,0.0396666666666667,0.0313333333333333,0.206333333333333,0.029,0.007,0.0166666666666667,0.00233333333333333,0.035,2.77993333333333,"Professor Clubb is very chill and extremely helpful. I went to as many office hours as I could and he basically tells you what going to be on the exams, he also gives you his past exams and then reuses questions on past exams. It may be annoying to have a quiz every week but it was actually helpful because it forced me to be on top of studying. His class was not that hard and I feel like I learned a lot especially about real life scenarios.","Summer 2018","A"
"James W Gober","CHEM 153A","Biochemistry: Introduction to Structure, Enzymes, and Metabolism","CHEM","stem",3.3,2.2,2.9,2.8,3.2,0.0348333333333333,0.375,0.163666666666667,0.118166666666667,0.0818333333333333,0.0676666666666667,0.0435,0.0485,0.0326666666666667,0.0116666666666667,0.00783333333333333,0.00316666666666667,0.0118333333333333,3.34085,"Honestly just take this class with a different professor. Gober is a biochem veteran and undoubtedly knows the material well, but he tries wayyyy too hard to make the class ""applicable to real life"" rather than teaching students what they actually need to know. Like everyone else said, his exams are more about if you wrote down the EXACT wording he used in lecture rather than you if you actually understood the material. Gober comes across as friendly and helpful, but he blindsided us with the final. The final was extremely difficult and we did not have near enough time to finish. I studied more for this class than any other UCLA class and barely pulled off a B+. I had friends take other profs and easily get A's without studying near as much. Save yourself the stress and take a different prof!","Winter 2021","B+"
"Ryan Lannan","CHEM 153A","Biochemistry: Introduction to Structure, Enzymes, and Metabolism","CHEM","stem",3.8,2.7,3.7,3.4,3.9,0.318333333333333,0.195333333333333,0.109666666666667,0.0743333333333333,0.0946666666666667,0.0583333333333333,0.037,0.0416666666666667,0.0146666666666667,0.014,0.011,0.007,0.0236666666666667,3.3747,"His midterms were more than fair. Between 80-90% averages are the same as or BETTER than what I have heard from other 153A classes. He's honestly a pretty decent lecturer and helpful at his office hours, not the best not the worst. He did improve a lot throughout the quarter. Not a fan of these people showering hate on him because they did poorly in the class.","Winter 2022",NA
"Jeanne Morin-Leisk","CHEM 153A","Biochemistry: Introduction to Structure, Enzymes, and Metabolism","CHEM","stem",4.7,2.5,4.5,2.5,4.7,0.0955,0.184,0.0975,0.0845,0.1405,0.094,0.041,0.1105,0.0725,0.017,0.015,0.022,0.026,2.92395,"This is the first professor I have ever written a review for on bruinwalk because she has been THE BEST PROFESSOR EVER. This was her first year teaching and you could tell that she put teaching above everything else, considering she always had 1.5 hrs of office hours every day after class ( 4 days a week). Also, discussions were optional so I never attended because I found that the TAs presented extra material that was unnecessary. My advise is to attend leisk's office hours regularly because she expands on course ideas which helps a lot during exams when you have to think flexibly.",NA,NA
"Stacie S Nakamoto","CHEM 153A","Biochemistry: Introduction to Structure, Enzymes, and Metabolism","CHEM","stem",2.8,1.8,3.2,1.6,2.6,0,0.135,0.0592,0.0956,0.173,0.097,0.0844,0.1132,0.079,0,0.0892,0.005,0.0692,2.50294,"selling both the course reader and problem book for $55. Those two are the must-have in her class. Newsest edition. Call/text me ********** or email me at *************",NA,NA
"Rebecca Nelson","CHEM 153A","Biochemistry: Introduction to Structure, Enzymes, and Metabolism","CHEM","stem",2.2,1,2,1.2,3.8,0.047,0.1385,0.097,0.1055,0.139,0.133,0.078,0.094,0.074,0.045,0.0185,0.007,0.0225,2.80025,"Her midterms were VERY straightforward and easy. But then... the final was nonsense. It had very little to do with her lecture.",NA,NA
"William Silkworth","CHEM 153A","Biochemistry: Introduction to Structure, Enzymes, and Metabolism","CHEM","stem",4,2,4,3,5,0.0505,0.058,0.0785,0.2335,0.2195,0.1165,0.1085,0.0695,0.026,0,0.02,0,0.02,2.9208,"This is my first Bruinwalk review, and the reason I'm writing it is because I feel like more people should know about Prof Silkworth. This class was super interesting and hard as hell! but Prof Silkworth is so into biochem that it's hard not to catch his enthusiasm.  Don't freak out if you bomb your first midterm. Even though he doesn't technically curve the class, he does scale your grades and offers a good amount of extra credit if the class collectively does poorly on a test. I studied my ass off, but was honestly floored when I got my final grade. A couple things:GO to office hours!! I know everyone says that, but seriously, go to his office hours. Lecture can be rushed due to the sheer amount of info, but office hours let you actually take time to go over difficult topics.Worry less about the problem sets and more about what he says to focus on in class. I started recording his lectures in case I missed something and it really helped, because he constantly drops hints about what to study. Focus on those problems in the sets.Do get the textbook. An older version is fine, but it just really helps to get that extra clarification on mechanisms and additional diagrams. I'm pretty visual and the textbook has lots of that.Finally, don't get too caught up with your grade. Just study hard and participate, and I think he recognizes that. You may be pleasantly surprised. Good luck!","Summer 2018","A"
"Heather Tienson-Tseng","CHEM 153A","Biochemistry: Introduction to Structure, Enzymes, and Metabolism","CHEM","stem",2.9,2.2,2.9,2.3,2.9,0.0553,0.20215,0.1241,0.11655,0.19575,0.07695,0.05965,0.0801,0.03245,0,0.04385,0,0.0133,3.06501,"When you are in the classroom and hear the lecturer talks like ""ah...today...ah...we gonna talk about ah...ah...DNA...ah...""; guess what? You are in the class of Dr. Tienson!She uses the iclicker to take attendance, but the only purpose of her lecture is to torture her students' ears. She doesn't know much biochemistry, not even good at reading from the slides.She can't even produce a complete sentence without saying ""ah..ah..ah.."", but she is truly a master in annoying people.","Fall 2018","A-"
"Richard L Weiss","CHEM 153A","Biochemistry: Introduction to Structure, Enzymes, and Metabolism","CHEM","stem",2.4,1.4,2.4,2,2.6,0.00766666666666667,0.187,0.0676666666666667,0.096,0.215666666666667,0.0863333333333333,0.0726666666666667,0.115,0.0343333333333333,0,0.083,0,0.035,2.76443333333333,"This man is 75 and a retired professor who only comes to teach when they need an extra section. I took this class last quarter and it was at 8am, four days a week (so already awful off the bat). Luckily it was bruincasted, his attendance was  in the 20-30% every single lecture, which he was mad about (dont teach an 8 am then). His voice and lectures are not engaging whatsoever and the class is based almost entirely on two midterms (which are 50 min during class) and a final, all which was so hard. His TAs grade and look for verbatim words and phrases that he uses in lecture, and if you paraphrase, its wrong, and partial credit is rare. I shouldve taken Awad but both of her sections were full when I registered and I thought taking Weiss would be fine. Sike i was wrong. I would recommend waiting for a better professor if this is your only option. I am now paying the price and am going to have to retake the course.","Fall 2019",NA
"Laurence Lavelle","CHEM 14B","General Chemistry for Life Scientists II","CHEM","stem",3.5,2.8,3.8,3.8,4,0.124,0.2135,0.184,0.1285,0.119,0.081,0.0555,0.0405,0.0475,0,0.002,0.001,0.0025,3.32265,"#RealRating","Winter 2024","A"
"Eric R. Scerri","CHEM 14B","General Chemistry for Life Scientists II","CHEM","stem",1,1,1,2,1,0.0685,0.18,0.186,0.1695,0.12875,0.08825,0.06825,0.05725,0.02725,0,0.01225,0,0.01425,3.196125,"Horrible I think id rather be shot multiple times than take this class again. I really don't like him and I can safely speak for the majority of people when I say this.","Spring 2022","C+"
"James W Gober","CHEM 17","Chemical Principles","CHEM","stem",3.5,3.3,3.1,3.5,3.4,0.0323333333333333,0.218333333333333,0.139666666666667,0.119666666666667,0.146333333333333,0.0996666666666667,0.0763333333333333,0.0706666666666667,0.0456666666666667,0.0246666666666667,0.015,0.00566666666666667,0.00566666666666667,3.068,"This class itself was alright. Gober tries his best to be funny during lectures and comes across as corny, but he really is a warm guy and cares about his students. He was featured in NELK's vaping prank video but handled the situation well. His midterms can have some pretty ridiculous questions (with equally ridiculous answers), but he does grade on a lenient curve.  He also usually tells you what to study ahead of time for the two midterms and finals as well. This quarter, due to coronavirus, Gober does have to administer the test online. His lectures are mainly based on slides he posts ahead of time online, and you're not any worse off just going off the slides and textbook alone to study. (Textbook can be found for free online at Z-Lib).","Winter 2020",NA
"Arno Papazyan","CHEM 17","Chemical Principles","CHEM","stem",2.4,2.4,2.1,2.5,2.6,0.217,0.043,0.096,0.043,0.061,0.113,0.035,0.026,0.2,0,0.078,0,0.087,2.5757,"This class is much more difficult than what it should really be. Papazyan makes learning basic highschool chemistry very difficult. Unfortuntately, he is not the best at explaining basic chemistry concepts. Although the course requires a textbook, Papazyan discourages students from learning from the textbook. Instead, he suggest using his slides that he posts on CCLE. However, his slides are extremely confusing. You are better off learning from the textbook. While his weekly quizzes are graded generously, they are far more difficult than what they should be.","Fall 2019","P"
"Beatriz E Ruiz-silva","CHEM 17","Chemical Principles","CHEM","stem",4.5,2.5,4.3,2.7,4.5,0.194,0.0625,0.0315,0.0315,0.0815,0.0815,0.0815,0.094,0.05,0.1315,0.0815,0,0.0815,2.42395,"she is a really good professor.  not only did she care about how well her students understood the material, she was very flexible with the grading. also, she is understanding. i got reallly sick during finals week and had to miss the final, and she handled the situation very well. i dont know how anyone could not pass her class with a good understanding of intro chem.",NA,NA
"Eric R. Scerri","CHEM 17","Chemical Principles","CHEM","stem",3.2,3.2,2.6,2.9,2.9,0.103,0.185333333333333,0.0883333333333333,0.1555,0.125833333333333,0.0706666666666667,0.0785,0.0631666666666667,0.0503333333333333,0.0055,0.0376666666666667,0,0.0355,2.99888333333333,"I thought this was a solid class. I took this my sophomore year for the psych major, and I hadn't taken chemistry since sophomore year of high school. lectures often have mistakes in them that do get corrected, but overall they were informative. they also had great practice problems. what really helped was lab. Spencer was probably one of the best TA's I've ever had, he was so clear and explained everything really well. Definitely attend section if you need help and clarity. Scerris was also nice and I did think he was approachable, you can stay on the zoom for a good while afterwards to ask questions. if you follow along the practice questions and do the homework, the exams really shouldn't be difficult at all. don't shy away from this class, I was scared at first but really there is no need to be nervous.","Fall 2020","A"
"Anastassia N Alexandrova","CHEM 20A","Chemical Structure","CHEM","stem",3.7,2.8,3,3.2,3.5,0.011,0.0615,0.2265,0.165,0.208,0.13,0.0345,0.092,0.009,0,0.0395,0,0.022,2.9657,"Alexandrova was an excellent and solid chemistry professor. She often would make sure that the most if not all of the class was on the same page during lecture before she would move on to another topic, and always paused for questions and engaged the class. Exams were of average difficulty. Very approachable and good chemistry professor overall.","Fall 2016","B+"
"Timothy Atallah","CHEM 20A","Chemical Structure","CHEM","stem",2.6,1.7,2.3,2.6,3.3,0.208,0.185,0.079,0.129,0.073,0.084,0.096,0.062,0.039,0,0.017,0.022,0.006,3.1793,"I got a C+ at the end of the quarter. However he didn't factor in the homework grades and extra credit (due to logistical issues). This lifted me to a 93.00%, which was an A. This is because Homework was very important in his class and he also gave a good amount of extra credit. I don't think I did too well on the midterm and final but he was lenient. I don't know how to finish this review...","Winter 2018","A"
"Delroy A Baugh","CHEM 20A","Chemical Structure","CHEM","stem",2.1,2.9,1.4,3,1.8,0.183166666666667,0.205666666666667,0.0796666666666667,0.100166666666667,0.094,0.0746666666666667,0.0723333333333333,0.0666666666666667,0.043,0.00916666666666667,0.0146666666666667,0.00416666666666667,0.0526666666666667,3.06655,"Talk about an absolute disaster. In previous quarters, it seems as though his lecturing style may have largely been the same, but the tests/quizzes, as previously mentioned, were written by generous TA's with material pulled directly from the homework. Therefore, any student willing to put in a basic level of effort into the class would, without a doubt, get an A.","Fall 2019",NA
"Christian Evan Beren","CHEM 20A","Chemical Structure","CHEM","stem",4,3.3,3.9,3.5,4.6,0.051,0.117,0.098,0.252,0.242,0.112,0.042,0.051,0.03,0,0,0,0.005,3.1442,"It's Beren. Chances are, you gotta choose between Beren and Baugh. I don't even have to write anything else. Choose Beren.","Fall 2019","A-"
"Louis-Serge Bouchard","CHEM 20A","Chemical Structure","CHEM","stem",3.3,4.7,3.3,3.3,3,0.076,0.739,0.084,0.076,0.008,0.008,0.008,0,0,0,0,0,0,3.8856,"I was scared to take this class because the prof was rated like a 2.3, but I decided to give it a shot and drop it if it didn't work out.  Some of his reviews say that he is really rude and condescending, but I didn't get that at all.  In fact, he's really nice and will answer questions you have.  I will say though, I learned very very little from this class.  The exams were like 11 questions on this thing called owl, and they were of owl difficulty 1-3 while the HW questions were of difficulty 4.  I basically got an A in the class by creating formula sheets for myself based on the homework questions, but I really didn't learn anything at all.  Lecture was just his office hour and I eventually stopped attending them.My major required only chem 20a and 20b, so I took this class to get an A and be done with it, but since taking it I've actually switched to a major that requires chem all the way up to 14D (switching tracks), so I'm kind of screwed.Take this class with him online like I did for if you need to get an A and be done with, but don't expect to learn anything unless you decide to read the textbook and watch Youtube videos on your own for your own learning's sake.","Winter 2021","A"
"Peter M Felker","CHEM 20A","Chemical Structure","CHEM","stem",2.1,2.1,1.9,2.6,1.9,0.026,0.119571428571429,0.114142857142857,0.142857142857143,0.165714285714286,0.111714285714286,0.077,0.0862857142857143,0.0715714285714286,0.003,0.0428571428571429,0,0.0391428571428571,2.79291428571429,"Professor Felker is the epitome of the stereotypical ""college professor"" that does not care about his students. Not only was the class extremely difficult because of remote learning, but he cared very little about staying in touch with his students and being involved with our learning experience. His lectures put students to sleep and his exams are brutal. Even though his reviews on Bruinwalk are terrible, he was even worse than I was expecting. I hope he is not reflective of all of the professors at UCLA.","Fall 2020",NA
"Benjamin Finck","CHEM 20A","Chemical Structure","CHEM","stem",4.5,3.5,4,3.8,4.2,0.059,0.141,0.132,0.107,0.132,0.112,0.078,0.054,0.044,0.039,0.034,0.005,0.063,2.7903,"I think Finck is a great teacher. He was a little sketchy about what would be on the tests (""anything and everything we have covered in the lectures or homework"" is a direct quote I believe). He was very disorganized with getting a workable set of texts for us to read from and backtracked on some of the information he gave to read us as he realized it was confusing and outdated (but I am not sure why he didn't realize this before he assigned it). The midterm was easy and the final was not.","Summer 2021","A-"
"William M Gelbart","CHEM 20A","Chemical Structure","CHEM","stem",4.4,2,3.8,2,4.8,0.037,0.105,0.116,0.144,0.082,0.159,0.15,0.085,0.045,0.023,0.037,0.003,0.014,2.8082,"Very challenging class but Gelbart is the best teacher I've had at UCLA thus far. He is so dedicated and really wants students to learn. Sometimes goes slow on harder topics and speeds through the less important. Go to AT LEAST one office hour  a week... I went all the time and I couldn't have gotten an A without it! I highly recommend!",NA,NA
"Abby Kavner","CHEM 20A","Chemical Structure","CHEM","stem",2.8,4.5,2,4.3,2.4,0.458,0.321,0.111,0.053,0.03,0.008,0.01,0.007,0.002,0,0,0,0,3.8536,"This review is going to sound exactly like every other review. Kavner is an amazing person, and I'm sure for any topic that she knew the content she would be a great professor. However, there's a reason Epsi teachers teach Epsi and not Chemistry. You don't learn much in lectures or in class at all, but it's very easy to still get an A without knowing any Chemistry. You're paying for the degree so take this class to boost your GPA, but learn the content on your own because you're most likely not learning it in class.","Fall 2022","A+"
"Alexander J Levine","CHEM 20A","Chemical Structure","CHEM","stem",2.7,2.1,2.9,2.8,2.7,0.0125,0.1865,0.086,0.173,0.2005,0.0625,0.05,0.106,0.009,0,0.082,0,0.0315,2.87965,"The professor is incredibly unclear. He teaches as if we already knew the material. TAs didn't communicate with the professor which made them completely useless when it came to clarification on tests and it felt like they hardly knew the material themselves. Levine's office hours were right after class, so many people weren't able to go to them. Tests were mainly conceptual and involved problems that we had never seen before or involved a very deep understanding of the material. I would avoid taking Levine again at all costs.","Fall 2016","B-"
"Zhao Li","CHEM 20A","Chemical Structure","CHEM","stem",5,3.7,5,3.3,5,0.064,0.17,0.234,0.128,0.17,0.064,0.064,0.043,0.064,0,0,0,0,3.249,"Professor Li is the best professor I have ever had and the best I will probably ever have the privilege/pleasure of learning from. Prof. Li said many times that she wishes all of us to succeed and she really sets us up for success by doing everything a teacher can do from the pedagogy point of view. She is very organized and sends weekly emails telling students what we will learn next week, what are the assignments due, what will the assessments cover if there are any and what are all the help resources available (Office hours from both her and the teaching assistants). Her lectures are very clear and she gives printed lecture slides to students so that we can follow along, annotate, and add calculations that she writes down on the board. She uses colored chalk and markers to contrast different examples and variables/graphs that she draws on the board so they are clear to the students. Prof. Li is willing to pause the lecture, take questions and answer them clearly before proceeding so that no student is confused. For the summer class, she understands the fast pace and adjusts the content covered so that we don’t rush through topics without truly understanding them.","Summer 2019","A"
"Yung-Ya Lin","CHEM 20A","Chemical Structure","CHEM","stem",4.8,1.7,4.5,1.6,4.7,0.071,0.236,0.221,0.1295,0.128,0.081,0.0615,0.039,0.0045,0,0.0045,0,0.025,3.30735,"Amazing professor. I'm not a hard worker and don't like going to class, but this class was absolutely an exception. He had office hours all the time, and I'd attend almost all of them. He'd buy snacks for us and was so helpful during them.","Summer 2018","A"
"Daniel Neuhauser","CHEM 20A","Chemical Structure","CHEM","stem",2.4,2.6,1.9,2.7,2.6,0.057,0.187,0.247,0.217,0.124,0.1,0.033,0.02,0.01,0.003,0,0,0,3.3848,"Professor Neuhauser is a very nice person.  He encourages his students to go to office hours and takes a good amount of questions during lecture.  He tries his best, but unfortunately, his best isn't that good.  He knows a lot of chemistry, but he can't pass down his knowledge efficiently.  He doesn't do enough practice problems, as he talks about theory quite a bit, and when he is asked a question, his answer is not clear enough at all (he is still trying).  The TA office hours were so much better, and honestly, it's the TA that run the show.  His midterms are quite reasonable, but his final was pretty difficult.  Word of advice, if something doesn't show up on the midterm, it's probably gonna show up on the final, so watch out.  In the end, his class was doable with the TAs and online videos and everything.  Not the easiest class; take someone better if available.  Oh and one more thing, ""do more practice problems!""P.S. Thanks Wenfei!","Fall 2018","A"
"Franklin Ow","CHEM 20A","Chemical Structure","CHEM","stem",3.8,3.2,4,4.3,3.3,0.237,0.263,0.316,0.079,0,0.026,0.053,0,0.026,0,0,0,0,3.6662,"Not bad at all. 2 midterms worth 45% total, final is 35. Exams averaged like over 80% I think. Lectures are recorded but doing the hw and discussion problems are more helpful. Didn't feel the need to go to office hours really. Make sure to redo hw, quiz, and exam problems. Overall the course is alright and prof ow is sufficient.","Winter 2024","A"
"Eric R. Scerri","CHEM 20A","Chemical Structure","CHEM","stem",2.9,2.2,3,3.1,2.5,0.0615555555555556,0.122222222222222,0.0666666666666667,0.144888888888889,0.135,0.0824444444444444,0.0985555555555556,0.115777777777778,0.0688888888888889,0,0.0537777777777778,0,0.05,2.71663333333333,"Scerri just doesn't particularly care. This unfortunately became more and more obvious as the class progressed. At first I was impressed by his obvious intelligent and occasional dry humor, but he is not a good professor. He speeds at a breakneck pace through a vast array of material without giving any context as to how concepts relate to each other or why we should care. Additionally, his lecture slides are spotted with typos and are almost entirely useless to review afterwards, so you need to take expansive notes. On the positive side, the Owl homework is very forgiving, and is a substantial part of your final grade. I learned pretty much nothing through the majority of the class, and had to frantically study outside materials and previous tests to make any measurable progress as tests drew near. While this landed me with very good scores, it was not a particularly comfortable or rewarding way to go through class. Through all of this, Scerri speeds on, unconcerned with the fact that 90% of the students have no real clue what's going on.Anyway, the long and the short of it is this: avoid Scerri if humanly possible, especially if you are not strong in chemistry coming in. My previous knowledge was the only thing allowing me to do well, and things would have been far more hellish in an already brutal class if I had not had experience going in.","Winter 2020","NR"
"Benjamin J Schwartz","CHEM 20A","Chemical Structure","CHEM","stem",3.6,1.3,3.3,2,4.3,0.014,0.189,0.027,0.081,0.167,0.045,0.095,0.167,0.081,0.045,0.023,0,0.068,2.5734,"He's pretty good overall! He's quite clear and knows+loves his stuff. He's also very likable: funny, answers all questions, and has a few demos!  He's very conceptual, which I like. As for having chemistry background, my high school honors-not-AP chem background was enough for me grade-wise, but I still don't understand ~5% of the concepts, so maybe AP chem would've helped. Who knows?","Winter 2016","A"
"Huiling Shao","CHEM 20A","Chemical Structure","CHEM","stem",4.1,3.2,3.8,3.4,4.3,0.266666666666667,0.241666666666667,0.148,0.105,0.094,0.043,0.0336666666666667,0.0136666666666667,0.019,0.003,0.00466666666666667,0.00166666666666667,0.0263333333333333,3.47233333333333,"Disclaimer: I am a chemistry major so I actually enjoy chemistry... take it as you'd like. Chem 20A is a humbling experience. The course starts off with quantum mechanics and is very confusing at first. Midterm 1 was very long and complex even though all tests are open note, mostly no one finished. After midterm 1 the course is actual chemistry stuff which was much easier. The homework (engage assignments) are terribly long, however it is easy to get full points because you have 10 attempts per problem. The professor lacked a bit of organization, but since she's relatively new it was understandable. The grading curve most definitely saves your grade because 50% is given to you by discussion worksheets and homework assignments meaning that if you put some effort on exams you can pass. TA review sessions for exams are very useful (more than Tau Beta Pi sessions). I never went to the professor's office hours but I did go to the TA's (shoutout to Judah Raab for being a great TA!). I didn't have much of a physics background for the first part of the course, but I was still able to get an A. Overall, a good course just make sure to set aside time to review concepts and study and it should be completely doable.","Fall 2021","A"
"Ohyun Kwon","CHEM 136","Organic Structural Methods","CHEM","stem",3.1,2.1,3.3,1.6,2.6,0.0426,0.1656,0.1716,0.1476,0.0932,0.0906,0.057,0.0688,0.0782,0.027,0.036,0.0216,0,2.96688,"Prof. Kwon's class was one of my favorite chemistry classes. She is extremely knowledgeable about spectroscopy, and she made the lectures very interesting, for the most part. The lab component of this class is a bit wild in terms of reactions working/getting decent NMRs, but this is to be expected for an upper div lab class. It's still nowhere near as bad as 144 was. Make sure you double check with TAs/Kwon that your lab reports are perfect, because those are easy points to lose. A lot of people made the mistake of waiting until the third or fourth lab report to get things right. If you start out strong, however, you should be able to maintain good lab report grades. So basically, the lab portion, lab reports, and homework are easier than 144, but the tests are harder. However, as long as you read the assigned chapters in the textbook, do the end-of-chapter problems, and understand the lectures, you'll do well on the tests.","Spring 2019","A-"
"Yves Rubin","CHEM 136","Organic Structural Methods","CHEM","stem",3,2.4,2.9,2.7,3.4,0.1345,0.443333333333333,0.165166666666667,0.0955,0.0711666666666667,0.0588333333333333,0.01,0.00383333333333333,0,0,0.0113333333333333,0,0.00616666666666667,3.65195,"This class is EASYY but overall just alright. The professor is kinda dry but overall still kind and willing to help. You can honestly just read the textbook alone and be more than fine in the class. HW was not too bad but is graded so make sure to double check especially with the ones that have provided answers from the end of the TB. The exams, however, can be tricky. You’ll be given just an IR, for example, but not the molecular formula. BUT!, best thing about the exams are that they’re completely open note as in, I had my iPad notes and laptop for the exam.As for the lab, it’s fine but disorganized at times. The TAs are a great help and getting good results isn’t expected. If anything, sample data is given if your experiment doesn’t work (and a lot of them don’t). The lab reports are really straightforward and doesn’t require a lot of explaining. Literally just analyzing your NMR in bullet points; they’re not graded that harshly + a lot of time is given to complete them especially since we would finish some of our labs in less than the given lab sessions.The grading scale is also crazy; 75% for an A-, 50% is a B- so you’ll literally be fine.","Fall 2023","A"
"Delroy A Baugh","CHEM 110A","Physical Chemistry: Chemical Thermodynamics","CHEM","stem",2.1,2.1,2,2.4,2.4,0.1244,0.217,0.109,0.1146,0.1408,0.0748,0.0744,0.0474,0.04,0.0132,0.0058,0,0.0388,3.12832,"Don't believe him if he says the exam is open book.","Winter 2018","A"
"Robijn Bruinsma","CHEM 110A","Physical Chemistry: Chemical Thermodynamics","CHEM","stem",5,2.5,4.5,2,5,0.11325,0.1005,0.1645,0.158,0.146,0.142,0.06325,0.056,0.04475,0,0,0,0.013,3.14,"Professor Bruinsma's sense of humor is incompatible. It is natural. He doesnt even try to be funny but he will make you laugh during every single lecture. Beside, he cares about his students. He takes the time to explain something that might not be clear or difficult to understand. His tests are reasonable as long as you pay attention in lectures and understand the homework. I had amazing TA  when I took this class the Winter quarter so that was one of the reason why I was able to do well.","Winter 2017","A+"
"Peter M Felker","CHEM 110A","Physical Chemistry: Chemical Thermodynamics","CHEM","stem",2.5,1.9,2.3,2.6,2,0.031125,0.108,0.113125,0.13375,0.164,0.129625,0.11525,0.083,0.049875,0,0.038,0,0.03425,2.8122875,"I took this class online during Covid. It is solely based on one midterm (35%) and one final (65%), which is ridiculous. The notes he provides are very sloppy and handwritten in cursive. He has things scribbled out and arrows pointing to where things should be written. He just reads off his lecture notes but he jumps around when talking so it's hard to figure out what he's saying. He assigns about 20-35 HW problems per chapter but they are not graded and are not too helpful when it comes to preparing for the test. His tests are ridiculously hard and nothing like the HW problems. His office hours aren't of much help as he just explains everything the same way he does in the recorded lectures. Class averages on tests are around 50-60% and he seems to be proud of that as all he does is brag about that and tell us that we need to be prepared because the tests are ""hard.""","Winter 2021","P"
